time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025878,274.3,116.6,2592.8,399.8,3023.2,103.6,279.3,2737.2,3006.1,236.5,43.9,20.2
0.027878,276.9,127.3,2647.5,387.3,3023.7,147.7,279.8,2740.4,3006.5,236.7,44.1,20.3
0.029878,281.5,138.1,2693.0,347.8,3019.6,184.8,280.7,2745.6,3007.2,237,44.3,20.1
0.031878,287.1,150.3,2716.9,308.9,3016.7,189.9,281.8,2752.6,3008.3,237.2,44.4,20
0.033878,291.5,161.0,2727.4,287.6,3016.8,181.1,283.3,2761.4,3009.5,237.4,44.6,20.2
0.035878,292.8,163.8,2733.7,284.7,3018.2,179.5,285.2,2771.7,3011.1,237.6,44.7,20.9
0.037878,291.1,156.9,2741.5,297.7,3016.7,187.1,287.3,2783.2,3012.9,237.8,44.8,21.8
0.039878,289.0,146.7,2755.2,328.4,3005.9,196.2,289.7,2795.6,3014.8,238,44.9,22.9
0.041878,288.5,140.2,2776.8,382.4,2982.5,197.6,292.4,2808.6,3017,238.1,44.9,23.7
0.043878,290.2,140.8,2807.2,468.0,2950.1,180.0,295.4,2821.9,3019.3,238.3,44.8,24.1
0.045878,294.3,151.1,2838.1,585.3,2922.6,138.7,298.6,2834.9,3021.7,238.4,44.7,24
0.047878,300.3,170.2,2861.2,693.0,2908.0,102.0,302.1,2847.4,3024.2,238.4,44.5,23.5
0.049878,307.6,195.1,2884.3,783.4,2900.3,78.0,305.8,2858.9,3026.8,238.4,44.3,22.8
0.051878,314.7,220.4,2897.2,66.6,2915.9,840.3,309.6,2869.1,3029.4,238.4,44.2,22.2
0.053878,319.9,240.5,2898.0,64.5,2951.2,850.5,313.7,2877.5,3031.9,238.4,44,21.9
0.055878,322.2,250.6,2901.7,66.0,2981.5,847.3,317.9,2883.7,3034.4,238.2,44,22
0.057878,321.5,248.7,2905.8,66.2,3016.1,871.4,322.3,2887.4,3036.8,238.1,43.9,22.3
0.059878,320.0,241.0,2908.1,65.4,3083.9,909.0,326.7,2888.2,3039.1,237.9,43.9,22.8
0.061878,319.9,235.6,2908.0,67.1,3189.2,883.8,331.3,2885.8,3041.2,237.6,44,23.2
0.063878,323.0,237.5,2906.1,75.3,3271.5,773.3,335.9,2880,3043,237.3,44,23.5
0.065878,330.5,248.3,2901.9,94.4,3289.4,665.7,340.5,2870.6,3044.7,236.9,44,23.7
0.067878,343.1,265.7,2894.2,125.4,3249.7,593.6,345.1,2857.3,3046,236.4,44,24
0.069878,359.2,280.9,2883.0,162.0,3186.5,506.4,349.7,2840,3047,235.9,43.9,24.1
0.071878,372.3,284.5,2872.5,191.9,3138.3,411.2,354.2,2818.7,3047.7,235.4,43.9,24.1
0.073878,378.4,278.8,2868.5,214.4,3109.8,350.6,358.7,2793.3,3048.1,234.7,43.9,23.9
0.075878,377.1,264.7,2879.1,240.5,3086.8,346.9,363.1,2764,3048,234.1,43.9,23.3
0.077878,371.9,243.5,2917.9,262.5,3047.2,424.7,367.3,2730.7,3047.5,233.3,43.9,22.4
0.079878,367.7,219.5,2959.5,200.3,3003.9,665.6,371.4,2693.7,3046.6,232.5,43.8,21.4
0.081878,365.4,196.9,2972.1,148.9,2983.1,960.3,375.4,2653.1,3045.2,231.7,43.8,20.5
0.083878,364.0,175.4,2967.7,1288.6,2981.2,113.1,379.1,2609.3,3043.4,230.8,43.7,19.8
0.085878,363.7,154.3,2962.0,1656.7,2988.2,87.2,382.6,2562.5,3041.1,229.9,43.6,19.4
0.087878,364.9,134.2,2954.1,2209.7,2991.5,72.3,386,2513.1,3038.4,228.9,43.5,19.2
0.089878,368.2,113.2,2281.3,3328.3,2990.4,64.2,389.1,2461.6,3035.1,227.9,43.4,19.1
0.091878,374.7,94.6,1970.0,2619.8,2984.4,61.5,391.9,2408.3,3031.4,226.8,43.2,18.9
0.093878,383.9,77.8,1968.3,2437.2,2973.3,61.0,394.5,2353.8,3027.2,225.7,43.1,18.6
0.095878,393.5,63.6,2006.4,2347.6,2962.3,60.9,396.9,2298.5,3022.6,224.6,42.9,17.9
0.097878,402.9,52.1,2036.3,2273.7,2954.8,62.8,399,2242.9,3017.5,223.4,42.8,17
0.099878,411.3,43.6,2036.9,2208.6,2953.6,66.1,400.9,2187.6,3012,222.3,42.7,16.1
0.101878,417.6,37.3,2001.7,2124.5,2960.4,64.9,402.5,2133.1,3006,221.1,42.7,15.3
0.103878,421.8,32.7,1944.2,2037.9,2969.0,56.4,404,2080,2999.7,219.9,42.7,14.7
0.105878,423.9,30.1,1888.3,2002.7,2970.7,48.1,405.2,2028.6,2992.9,218.6,42.8,14.4
0.107878,424.6,29.5,1826.3,2041.0,2965.8,44.4,406.2,1979.6,2985.8,217.4,42.9,14.4
0.109878,423.9,30.9,1747.9,2160.9,2957.8,46.0,407.1,1933.4,2978.4,216.1,43.2,14.4
0.111878,421.9,32.8,1662.7,2350.5,2950.8,53.4,407.8,1890.4,2970.6,214.9,43.4,14.5
0.113878,419.5,33.1,1594.4,2478.3,2947.4,65.6,408.4,1851,2962.6,213.6,43.8,14.5
0.115878,416.7,30.7,1578.9,2321.5,2947.0,78.2,409,1815.6,2954.4,212.4,44.1,14.5
0.117878,414.1,26.5,1611.1,1918.3,2944.3,83.7,409.5,1784.5,2945.9,211.1,44.5,14.5
0.119878,412.0,21.7,1653.5,1544.7,2935.5,83.1,410,1757.9,2937.2,209.8,44.9,14.4
0.121878,410.9,18.1,1701.7,1370.2,2925.8,82.5,410.5,1736,2928.4,208.6,45.3,14.4
0.123878,410.9,15.8,1766.2,1401.9,2921.9,82.0,411.1,1719,2919.4,207.3,45.6,14.2
0.125878,411.3,14.7,1844.6,1608.3,2922.3,78.2,411.8,1706.9,2910.4,206.1,45.8,14
0.127878,411.6,14.5,1926.4,1931.8,2921.5,70.2,412.7,1699.8,2901.3,204.8,45.9,13.7
0.129878,411.4,15.1,1971.6,2188.8,2917.4,60.9,413.8,1697.6,2892.2,203.6,45.9,13.4
0.131878,411.0,17.3,1962.3,2172.5,2909.7,56.5,415.1,1700.1,2883.1,202.4,45.9,13
0.133878,410.4,21.6,1928.5,1912.5,2898.4,58.5,416.7,1707.4,2874,201.1,45.7,12.6
0.135878,409.8,27.6,1894.2,1650.5,2886.6,61.7,418.7,1719,2865,199.9,45.5,12.1
0.137878,409.0,34.9,1863.8,1469.4,2877.0,62.4,421,1734.8,2856.1,198.7,45.2,11.5
0.139878,407.7,43.4,1842.4,1357.3,2869.1,62.7,423.6,1754.4,2847.4,197.5,44.9,10.9
0.141878,406.0,53.8,1843.1,1286.8,2858.2,67.3,426.8,1777.5,2838.8,196.3,44.5,10.5
0.143878,405.7,68.1,1880.9,1285.0,2840.3,81.0,430.3,1803.7,2830.5,195.1,44.2,10.2
0.145878,409.0,84.6,1942.8,1384.8,2821.8,100.5,434.4,1832.6,2822.3,193.9,43.9,10.2
0.147878,415.8,95.2,1998.3,1514.4,2812.8,116.3,438.9,1863.6,2814.5,192.7,43.8,10.5
0.149878,425.1,94.6,2025.5,1624.8,2818.4,127.9,444,1896.3,2806.9,191.5,43.7,10.8
0.151878,436.7,88.6,2023.7,1719.5,2839.3,144.0,449.6,1930.3,2799.6,190.4,43.8,11.1
0.153878,450.4,82.8,1989.7,1687.9,2870.7,166.4,455.7,1965,2792.7,189.2,43.8,11
0.155878,465.7,79.5,1989.7,1549.3,2879.8,189.5,462.3,2000,2786.2,188,44,10.6
0.157878,483.7,76.8,2048.8,1430.1,2846.8,206.3,469.4,2034.8,2780,186.9,44.1,10
0.159878,502.2,71.0,2094.9,1285.7,2796.3,196.6,477,2068.8,2774.3,185.8,44.3,9.2
0.161878,518.2,62.9,2098.2,1115.7,2755.8,167.0,485.1,2101.8,2769.1,184.6,44.4,8.5
0.163878,530.0,55.8,2077.9,971.5,2732.4,139.5,493.6,2133.3,2764.3,183.5,44.5,7.9
0.165878,536.3,52.6,2056.0,890.5,2725.8,129.1,502.5,2162.8,2760,182.4,44.6,7.6
0.167878,537.8,53.8,2040.7,859.5,2731.6,137.6,511.8,2190.1,2756.3,181.3,44.5,7.4
0.169878,536.6,59.7,2047.5,863.7,2746.7,166.8,521.5,2214.9,2753.1,180.2,44.3,7.3
0.171878,535.9,70.6,2100.4,882.7,2767.5,216.5,531.4,2236.9,2750.4,179.1,44,7.1
0.173878,537.8,86.6,2187.6,856.9,2789.0,272.1,541.5,2256,2748.4,178,43.6,6.8
0.175878,543.5,103.7,2232.2,867.1,2785.8,318.0,551.7,2271.9,2746.9,177,43.1,6.3
0.177878,555.5,121.0,2244.9,1038.6,2747.0,347.4,562.1,2284.6,2746.1,175.9,42.5,5.6
0.179878,572.7,139.0,2222.2,1300.2,2703.0,318.5,572.5,2294,2745.8,174.9,42,4.9
0.181878,588.3,159.4,2204.6,1431.2,2681.4,279.9,582.8,2300.1,2746.3,173.9,41.4,4.3
0.183878,597.3,177.7,2229.8,1358.4,2674.8,275.5,593,2303.1,2747.3,172.8,41,3.8
0.185878,602.5,177.1,2248.3,1169.6,2679.9,301.8,603.1,2303,2749.1,171.9,40.6,3.6
0.187878,610.9,159.0,2244.0,995.4,2693.6,337.7,612.9,2299.9,2751.5,170.9,40.3,3.4
0.189878,622.2,141.5,2241.1,885.6,2712.0,366.5,622.3,2294.1,2754.5,169.9,40.1,3.3
0.191878,632.4,133.7,2265.5,810.6,2737.9,388.1,631.3,2285.8,2758.3,169,40.1,3.5
0.193878,637.7,132.4,2309.7,722.9,2769.5,413.0,639.9,2275.3,2762.7,168.1,40.1,3.8
0.195878,635.5,127.4,2338.7,656.1,2777.2,459.4,648,2262.8,2767.7,167.2,40.3,4.4
0.197878,630.0,117.0,2363.3,635.7,2734.0,561.5,655.4,2248.7,2773.5,166.4,40.4,5.4
0.199878,627.2,111.0,2397.8,698.6,2615.6,650.7,662.2,2233.3,2779.8,165.5,40.6,6.5
