time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025005,388.1,89.7,2689.5,198.1,3599.4,637.7,385.7,2772,3553.2,0,31.3,-50.1
0.027005,391.0,85.6,2710.8,202.8,3605.5,646.8,386.4,2772.9,3554.1,0,32.9,-7.3
0.029005,391.7,75.9,2731.2,210.0,3608.3,644.4,387.6,2774.4,3555.5,0,34.1,22.1
0.031005,391.3,64.7,2750.5,218.8,3609.3,641.9,389.2,2776.4,3557.3,0,35.1,27.1
0.033005,389.8,54.9,2773.2,230.8,3597.6,642.5,391.2,2778.8,3559.3,0,35.8,22.1
0.035005,387.4,47.7,2810.6,264.5,3538.8,681.7,393.6,2781.5,3561.5,214.3,36.4,13
0.037005,385.9,44.8,2853.3,327.0,3415.4,727.1,396.3,2784.5,3563.5,215,36.8,5.5
0.039005,387.3,44.2,2881.3,394.1,3298.2,699.3,399.3,2787.6,3565.3,215.6,37.3,4.2
0.041005,392.8,42.7,2894.1,408.8,3267.5,704.6,402.4,2790.7,3566.5,216.4,37.9,4.9
0.043005,401.4,41.4,2890.8,352.7,3352.2,796.9,405.7,2793.6,3566.9,217.1,38.5,6.3
0.045005,410.2,41.6,2867.8,310.3,3497.0,813.4,409.1,2796.2,3566.4,217.9,39.3,8
0.047005,417.3,41.7,2835.0,319.3,3583.4,756.0,412.5,2798.4,3564.5,218.8,40.1,9.7
0.049005,421.9,39.8,2795.8,365.8,3590.8,717.1,415.9,2800,3561.3,219.6,40.9,11
0.051005,425.0,36.7,2748.7,405.3,3581.4,695.1,419.1,2801,3556.4,220.5,41.7,12.4
0.053005,427.7,34.2,2703.9,409.7,3611.2,661.7,422.2,2801.2,3549.8,221.5,42.5,13.8
0.055005,430.5,33.1,2675.3,399.3,3682.1,591.9,425.1,2800.6,3541.2,222.4,43.2,15.1
0.057005,433.0,33.2,2677.9,406.8,3750.0,517.0,427.6,2799.1,3530.7,223.4,43.9,16.1
0.059005,434.8,34.6,2728.1,420.1,3799.5,491.6,429.9,2796.6,3518.2,224.5,44.4,16.6
0.061005,435.9,36.7,2792.7,386.1,3838.9,518.6,431.7,2793.1,3503.8,225.5,44.9,16.7
0.063005,436.0,39.1,2803.5,333.7,3852.5,589.1,433.2,2788.7,3487.4,226.6,45.3,16.5
0.065005,435.6,42.3,2775.9,300.1,3820.1,718.6,434.3,2783.3,3469.3,227.8,45.6,16.3
0.067005,435.0,45.9,2752.4,284.9,3739.3,919.9,435,2777,3449.5,228.9,45.9,16.1
0.069005,433.7,48.3,2752.4,300.0,3564.8,1190.9,435.3,2769.9,3428.4,230.1,46.1,16.4
0.071005,431.8,49.1,2785.5,353.8,3263.2,1291.2,435.2,2762.1,3406,231.4,46.4,16.9
0.073005,430.3,50.3,2862.9,415.1,3014.6,1138.4,434.7,2753.6,3382.8,232.6,46.6,17.5
0.075005,429.6,53.8,2913.8,1042.1,2938.6,399.1,433.8,2744.6,3359,234,46.8,18.2
0.077005,430.0,59.5,2869.7,877.3,2989.8,396.3,432.6,2735.3,3335,235.3,47,18.7
0.079005,431.2,66.2,2773.9,666.8,3062.0,366.9,431.2,2725.7,3311.1,236.7,47.2,19
0.081005,432.9,71.8,2690.5,529.0,3101.6,292.4,429.6,2716.1,3287.7,238.2,47.4,19.1
0.083005,434.5,75.8,2640.9,435.5,3121.8,255.1,427.8,2706.5,3265,239.6,47.6,19.2
