time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025027,361.0,260.9,3331.3,556.4,4426.7,4860.9,383.2,3279.1,4397.7,223.1,45,18.5
0.027027,366.1,272.8,3317.6,563.2,4403.9,3531.2,383,3278.7,4395.8,223.4,45.3,19.2
0.029027,374.4,295.5,3300.9,532.7,4415.9,2641.6,382.6,3278.1,4392.6,223.8,45.4,19.8
0.031027,386.9,321.8,3289.1,493.4,4406.2,1977.8,382,3277.3,4388.1,224.2,45.6,20
0.033027,400.5,337.8,3281.9,446.0,4385.6,1507.0,381.3,3276.2,4382.3,224.6,45.6,20.1
0.035027,408.9,334.9,3274.6,381.0,4348.3,1184.5,380.4,3274.9,4375.3,225.1,45.7,20.1
0.037027,408.6,317.6,3265.5,316.5,4303.4,989.1,379.5,3273.5,4367.1,225.5,45.8,20.3
0.039027,403.0,295.8,3256.4,267.2,4263.5,858.7,378.4,3272,4357.7,226,45.9,20.7
0.041027,395.5,276.3,3248.9,234.6,4235.2,770.2,377.2,3270.4,4347.1,226.5,46.2,21.2
0.043027,386.4,260.0,3243.5,212.1,4222.4,720.6,376,3268.8,4335.3,227,46.5,21.9
0.045027,375.4,244.1,3239.9,193.2,4226.1,710.7,374.7,3267.1,4322.5,227.5,46.8,22.6
0.047027,365.0,229.5,3237.4,173.0,4249.9,728.6,373.4,3265.5,4308.5,228,47.2,23.1
0.049027,356.6,217.9,3235.3,147.2,4300.4,742.8,372,3263.9,4293.6,228.6,47.6,23.3
0.051027,351.2,211.3,3233.7,118.3,4359.3,727.0,370.7,3262.5,4277.7,229.1,47.9,23.3
0.053027,348.0,209.6,3233.9,93.3,4383.2,713.7,369.3,3261.2,4260.8,229.7,48.2,23
0.055027,345.2,210.7,3236.9,75.1,4353.4,735.6,368,3260,4243.1,230.2,48.4,22.8
0.057027,342.5,214.7,3242.1,63.8,4293.6,771.7,366.8,3259.1,4224.6,230.8,48.6,22.6
0.059027,341.4,223.1,3248.5,56.4,4232.1,815.0,365.6,3258.4,4205.3,231.4,48.8,22.7
0.061027,343.8,236.1,3254.6,51.5,4185.2,852.3,364.5,3257.9,4185.3,231.9,48.9,23
0.063027,350.4,251.4,3259.3,48.9,4161.8,854.2,363.6,3257.7,4164.7,232.5,49,23.4
0.065027,360.2,264.9,3263.0,49.8,4161.5,812.9,362.7,3257.7,4143.5,233,49.1,23.8
0.067027,368.9,271.6,3266.9,56.4,4171.7,762.3,361.9,3258,4121.9,233.5,49.1,24.1
0.069027,373.5,273.3,3273.0,70.7,4173.4,733.8,361.3,3258.4,4099.8,234.1,49.2,24.3
0.071027,374.7,275.2,3282.1,90.8,4154.7,738.8,360.8,3259.1,4077.4,234.6,49.2,24.3
0.073027,375.4,281.6,3291.3,106.1,4119.0,767.2,360.5,3260,4054.7,235,49.3,24.2
