time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025469,352.5,56.3,2282.9,143.8,2923.8,132.4,341.6,2316.3,2929,162.3,43.4,18.9
0.027469,353.9,56.2,2283.5,148.3,2932.0,145.4,344.6,2310.2,2933.8,162.2,43.7,19.8
0.029469,355.9,56.8,2286.1,156.3,2938.8,161.8,349.3,2300.4,2941.5,162.2,43.9,20.7
0.031469,358.4,58.4,2287.3,171.5,2949.1,179.2,355.6,2287.7,2951.3,162.2,44,21.4
0.033469,361.6,60.9,2283.2,199.8,2966.1,197.5,363.1,2272.9,2962.6,162.1,44.1,21.8
0.035469,365.8,63.8,2272.2,229.9,2984.8,207.8,371.4,2257.1,2974.5,162.1,44.2,21.7
0.037469,371.0,67.5,2260.0,239.9,2997.7,207.7,380.1,2241.4,2986.1,162,44.2,21.4
0.039469,377.9,71.7,2252.1,229.7,3004.0,204.3,388.9,2226.7,2996.7,161.9,44.2,20.8
0.041469,386.1,75.3,2247.4,217.6,3005.4,202.6,397.4,2214,3005.4,161.9,44.1,20.3
0.043469,395.9,78.6,2239.3,215.3,3005.4,203.4,405.3,2204,3011.7,161.8,44,19.8
0.045469,406.0,81.1,2224.8,225.8,3006.1,206.5,412.3,2197.3,3015.3,161.7,43.9,19.5
0.047469,415.3,81.8,2205.0,245.3,3008.1,213.1,418.5,2194.1,3016.2,161.6,43.8,19.2
0.049469,424.4,81.1,2178.4,272.4,3010.3,227.0,423.8,2194.4,3014.4,161.6,43.7,18.9
0.051469,432.0,79.6,2154.7,296.2,3011.1,246.7,428.4,2197.8,3010.3,161.5,43.6,18.6
0.053469,438.3,76.4,2150.6,306.3,3008.8,265.4,432.3,2203.7,3004.5,161.4,43.5,18.4
0.055469,444.1,72.4,2173.5,294.2,3001.8,273.5,435.9,2211.5,2997.7,161.2,43.4,18
0.057469,449.6,68.1,2206.7,266.2,2990.3,275.5,439.5,2220.2,2990.5,161.1,43.4,17.7
0.059469,453.8,62.7,2237.8,237.1,2974.9,287.1,443.4,2228.8,2983.7,161,43.3,17.4
0.061469,456.2,57.2,2256.0,221.1,2960.7,319.6,447.8,2236.4,2977.8,160.9,43.2,17
