time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025955,713.4,330.4,1090.5,84.6,2885.3,738.7,747.9,1081.9,2759.6,219.7,43.8,7.5
0.027955,698.1,399.9,1096.4,66.9,2806.2,754.2,750.8,1085.2,2751.6,219.9,44.3,8.3
0.029955,684.1,465.2,1103.3,53.8,2737.4,732.9,755.4,1090.8,2738.6,220.2,44.7,9.2
0.031955,681.5,531.0,1109.6,46.2,2694.9,703.3,761.8,1098.3,2720.9,220.5,45.2,10.1
0.033955,696.1,604.8,1115.0,43.1,2665.3,668.4,769.5,1107.7,2699.1,220.8,45.6,11
0.035955,733.1,665.0,1120.2,44.1,2639.7,623.3,778.3,1118.7,2673.8,221.1,45.9,11.9
0.037955,791.4,676.8,1126.4,49.5,2620.8,571.8,788,1131.1,2645.7,221.4,46.2,12.7
0.039955,857.0,623.3,1135.5,60.4,2608.5,523.1,798.1,1144.6,2615.7,221.8,46.3,13.6
0.041955,902.9,530.0,1148.0,74.7,2591.8,488.8,808.3,1158.9,2584.6,222.1,46.5,14.3
0.043955,924.1,433.2,1164.9,87.7,2561.6,466.3,818.4,1173.6,2553.3,222.5,46.5,15.1
0.045955,928.3,357.2,1183.5,93.9,2519.2,449.1,827.9,1188.6,2522.5,222.9,46.6,15.7
0.047955,924.5,304.4,1200.6,93.2,2470.7,431.7,836.6,1203.5,2493,223.4,46.7,16.4
0.049955,917.0,269.6,1215.1,88.7,2422.6,411.1,844.2,1218.1,2465.5,223.8,46.8,17
0.051955,907.5,252.6,1225.7,84.2,2387.8,390.9,850.7,1232.1,2440.6,224.2,47,17.4
0.053955,896.3,250.4,1234.1,82.2,2370.8,375.7,855.9,1245.5,2418.8,224.7,47.2,17.6
0.055955,883.4,258.6,1242.1,83.0,2370.2,369.5,859.8,1258,2400.3,225.2,47.4,17.3
0.057955,867.6,266.4,1251.7,84.4,2375.5,367.9,862.4,1269.7,2385.3,225.6,47.6,16.3
0.059955,847.9,263.4,1264.8,83.8,2378.8,364.5,863.8,1280.3,2373.9,226.1,47.8,15
0.061955,828.4,251.6,1280.6,81.5,2381.5,362.8,864.2,1290,2365.9,226.6,48,13.7
0.063955,811.0,239.2,1298.1,78.3,2386.3,371.9,863.8,1298.8,2361.1,227.1,48.2,12.7
0.065955,797.9,233.4,1314.6,74.3,2392.2,398.0,862.9,1306.8,2359.2,227.5,48.3,12.4
0.067955,790.2,237.8,1327.4,69.9,2395.1,438.7,861.7,1314,2359.6,228,48.4,12.6
0.069955,787.6,253.7,1335.9,65.7,2391.4,479.2,860.7,1320.7,2361.9,228.5,48.5,13.1
0.071955,789.1,280.3,1341.2,62.9,2381.1,499.9,860,1326.9,2365.4,228.9,48.6,13.6
0.073955,794.2,321.0,1345.7,62.6,2367.0,515.1,860,1332.8,2369.5,229.4,48.7,14
0.075955,805.3,382.6,1350.7,66.6,2352.7,559.8,860.9,1338.7,2373.6,229.8,48.9,14
0.077955,827.3,462.3,1356.6,76.7,2345.9,666.3,862.9,1344.5,2377.1,230.2,49,13.8
0.079955,864.2,518.9,1364.0,93.8,2361.4,828.6,866.2,1350.5,2379.4,230.6,49.2,13.3
0.081955,896.6,488.2,1372.4,112.1,2403.9,908.3,870.9,1356.8,2380.2,231,49.5,12.9
0.083955,909.7,407.6,1379.2,127.0,2432.9,834.2,876.9,1363.5,2379.1,231.4,49.8,12.5
0.085955,915.5,342.5,1381.8,141.5,2432.6,736.8,884.2,1370.5,2375.8,231.8,50.1,12.4
0.087955,924.2,309.8,1381.9,159.6,2421.4,705.1,892.6,1378.1,2370.2,232.1,50.3,12.4
0.089955,938.4,302.6,1382.5,183.3,2406.0,746.7,902,1386,2362.4,232.4,50.5,12.5
0.091955,955.8,311.3,1385.8,208.3,2383.3,829.8,912,1394.5,2352.4,232.7,50.6,12.8
0.093955,972.8,327.0,1390.9,229.7,2346.5,904.4,922.3,1403.3,2340.5,233,50.7,13.1
0.095955,984.8,344.4,1394.9,240.4,2299.6,921.5,932.5,1412.4,2327,233.3,50.6,13.5
0.097955,991.1,359.4,1398.3,240.3,2263.4,894.9,942.3,1421.8,2312.5,233.5,50.6,14.3
0.099955,995.4,371.9,1404.6,238.0,2246.0,886.2,951.2,1431.3,2297.4,233.8,50.5,15.1
0.101955,997.1,382.9,1414.7,238.4,2235.2,922.2,958.7,1440.9,2282.4,234,50.5,15.9
0.103955,993.7,393.9,1428.7,239.8,2214.3,989.9,964.6,1450.5,2268,234.2,50.4,16.6
0.105955,983.1,403.9,1445.9,237.7,2181.8,1061.2,968.4,1460.1,2254.8,234.4,50.3,17
0.107955,962.7,405.5,1464.1,225.9,2161.9,1089.8,970,1469.6,2243.6,234.6,50.2,17.1
0.109955,933.3,387.8,1480.5,203.9,2178.3,1032.9,969,1479,2234.7,234.8,50.1,17.1
0.111955,908.2,356.2,1493.8,183.5,2205.5,922.9,965.3,1488.3,2228.8,234.9,50,17
0.113955,894.1,323.7,1505.8,170.5,2218.9,815.6,959,1497.5,2226.1,235,49.9,17
0.115955,888.7,295.4,1517.5,163.1,2226.9,724.1,949.9,1506.8,2227.2,235.2,49.8,17.1
0.117955,886.6,271.1,1530.6,157.0,2248.3,643.5,938.4,1516.3,2232,235.3,49.7,17.4
0.119955,884.0,252.7,1546.7,151.5,2287.5,575.6,924.5,1526.1,2240.8,235.4,49.5,17.7
0.121955,879.5,242.9,1562.7,147.8,2330.3,525.4,908.6,1536.3,2253.5,235.5,49.3,17.9
0.123955,872.7,238.2,1575.5,145.3,2365.6,487.6,891.1,1547.1,2269.9,235.6,49.1,18
0.125955,864.5,236.4,1583.4,144.7,2387.1,470.9,872.4,1558.8,2289.9,235.6,48.9,17.8
0.127955,855.4,234.8,1586.9,147.4,2394.7,477.3,853,1571.4,2313.1,235.7,48.7,17.2
0.129955,844.6,230.2,1588.8,153.5,2394.7,481.9,833.3,1585.1,2339.1,235.8,48.5,16.5
0.131955,831.9,221.1,1591.8,161.6,2397.1,457.9,813.8,1600.1,2367.3,235.8,48.3,15.7
0.133955,817.1,207.8,1598.0,171.5,2404.1,413.0,795.1,1616.6,2397.3,235.8,48.2,15.1
0.135955,802.0,192.7,1609.8,182.8,2413.7,370.2,777.5,1634.4,2428.5,235.9,48,14.7
0.137955,787.3,176.9,1630.2,192.7,2427.0,339.6,761.6,1653.8,2460.4,235.9,47.9,14.5
0.139955,771.8,161.0,1661.8,198.9,2447.2,321.3,747.5,1674.6,2492.4,235.9,47.8,14.4
0.141955,757.7,148.2,1698.7,200.7,2474.4,316.7,735.5,1696.8,2524,235.9,47.8,14.4
0.143955,747.1,139.8,1734.8,199.8,2512.4,320.1,725.9,1720.2,2554.7,235.9,47.8,14.4
0.145955,741.1,134.4,1765.9,196.5,2561.7,310.9,718.7,1744.7,2584.1,235.8,47.9,14.5
0.147955,735.9,126.3,1789.6,191.1,2605.1,273.8,713.9,1769.9,2611.8,235.8,47.9,14.7
0.149955,728.3,112.9,1804.8,190.4,2627.9,228.6,711.4,1795.6,2637.7,235.8,48,15
0.151955,720.5,100.0,1811.0,200.4,2634.3,197.0,711,1821.4,2661.4,235.7,48.1,15.2
0.153955,714.7,91.2,1812.6,223.4,2637.0,181.6,712.5,1847,2682.8,235.7,48.2,15.3
0.155955,710.8,86.8,1820.3,257.6,2643.6,185.2,715.5,1871.9,2701.8,235.6,48.3,15.2
0.157955,707.9,85.9,1848.3,292.5,2656.4,211.3,719.7,1895.6,2718.6,235.5,48.3,15
0.159955,705.0,87.8,1896.2,312.0,2675.8,258.7,724.7,1917.9,2733,235.5,48.3,14.6
0.161955,702.4,94.3,1939.7,316.2,2700.0,309.0,730,1938.1,2745.1,235.4,48.2,14.2
0.163955,701.0,108.3,1970.3,323.6,2728.6,349.8,735.3,1956,2755.1,235.3,48,13.5
0.165955,702.1,133.2,1990.4,338.3,2761.5,375.8,740.3,1971.2,2763.1,235.2,47.7,12.6
0.167955,708.4,174.8,2003.7,347.4,2799.9,385.2,744.5,1983.4,2769.2,235.2,47.3,11.3
0.169955,726.7,245.4,2011.0,336.6,2842.4,379.8,747.7,1992.2,2773.5,235.1,46.9,9.8
0.171955,767.4,340.7,2013.9,312.0,2874.2,377.8,749.7,1997.6,2776,235,46.5,8.3
0.173955,827.3,431.0,2017.6,296.0,2879.1,411.1,750.4,1999.4,2776.8,234.9,46.2,7.2
