time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025819,607.9,398.5,1564.7,225.8,2852.1,615.6,654.8,1536.9,2884.5,216.8,40.7,7.6
0.027819,647.4,423.3,1578.9,207.7,2862.2,707.2,660.8,1537.8,2885.4,216.9,41.3,7.4
0.029819,656.0,436.7,1577.4,203.2,2875.2,762.9,670.6,1539.3,2886.9,217.1,41.9,7.7
0.031819,650.2,451.7,1564.9,204.9,2880.1,753.9,683.9,1541.4,2889,217.3,42.5,8.2
0.033819,645.5,473.0,1547.2,206.6,2881.6,693.2,700.5,1543.9,2891.5,217.5,43,8.8
0.035819,655.9,507.0,1533.3,205.7,2886.9,612.2,719.8,1546.8,2894.4,217.7,43.4,9.4
0.037819,694.6,554.6,1528.3,203.0,2896.8,533.0,741.3,1550,2897.6,217.9,43.6,10.3
0.039819,765.0,581.4,1533.5,197.6,2907.3,470.9,764.6,1553.2,2901,218.1,43.7,11.3
0.041819,840.6,558.9,1544.0,187.7,2917.1,421.9,788.9,1556.4,2904.5,218.3,43.8,12.4
0.043819,895.8,522.9,1553.0,176.4,2927.7,379.5,813.8,1559.6,2907.9,218.5,43.8,13.3
0.045819,928.3,509.0,1556.6,169.0,2939.0,344.7,838.5,1562.4,2911.2,218.7,43.9,13.9
0.047819,946.4,517.6,1555.3,163.6,2947.6,317.7,862.5,1564.8,2914.2,218.9,43.9,14.4
0.049819,956.7,527.3,1551.8,156.1,2947.7,305.0,885.2,1566.8,2916.9,219.1,44,14.7
0.051819,965.5,519.0,1548.6,145.8,2939.0,313.7,906.1,1568.1,2919.1,219.3,44.1,15
0.053819,970.1,500.0,1545.7,137.8,2927.8,341.4,924.8,1568.8,2920.8,219.4,44.2,15.2
0.055819,966.2,487.6,1542.6,136.2,2922.9,371.6,940.7,1568.6,2921.9,219.6,44.4,15.6
0.057819,954.5,485.5,1539.2,140.6,2926.1,388.9,953.8,1567.7,2922.3,219.7,44.5,15.9
0.059819,938.8,491.1,1536.6,149.6,2931.1,385.1,963.8,1566,2922.1,219.8,44.7,16.3
0.061819,924.4,495.9,1536.2,160.9,2930.1,371.7,970.5,1563.5,2921.1,219.9,44.8,16.6
0.063819,916.9,491.3,1539.0,172.9,2921.5,365.0,974.1,1560.2,2919.4,219.9,44.9,16.9
0.065819,917.2,478.4,1545.0,185.8,2909.1,367.2,974.5,1556.2,2917.1,219.9,45,17.1
0.067819,923.0,462.3,1554.1,202.8,2897.6,373.1,972.1,1551.5,2914.1,219.9,45,17.4
0.069819,930.9,445.3,1564.1,223.7,2891.8,383.4,967,1546.4,2910.4,219.9,45.1,17.6
0.071819,936.8,423.8,1572.0,244.6,2887.4,403.7,959.6,1540.8,2906.2,219.8,45.1,17.8
0.073819,936.5,406.4,1575.1,264.7,2881.4,424.2,950.4,1534.9,2901.6,219.7,45.1,17.9
0.075819,930.1,400.8,1572.0,279.5,2878.4,442.0,939.8,1528.8,2896.5,219.5,45.1,17.9
0.077819,920.2,401.8,1562.8,279.3,2878.8,468.1,928.2,1522.8,2891.1,219.3,45.1,17.7
0.079819,912.2,400.3,1552.0,261.3,2877.6,500.5,916.3,1516.9,2885.4,219.1,45.2,17.5
0.081819,909.4,392.0,1543.1,234.0,2865.8,531.0,904.4,1511.3,2879.6,218.9,45.2,17.2
0.083819,908.1,380.4,1533.9,205.9,2842.3,558.2,893,1506.1,2873.7,218.6,45.2,16.8
0.085819,903.7,372.4,1522.7,183.3,2823.9,587.6,882.7,1501.5,2867.7,218.3,45.1,16.5
0.087819,896.5,366.5,1509.7,165.6,2824.1,624.2,873.7,1497.5,2861.8,217.9,45,16
0.089819,888.0,358.0,1496.8,153.1,2842.1,653.8,866.5,1494.3,2855.9,217.5,44.9,15.5
0.091819,875.4,345.6,1482.9,144.5,2868.7,654.0,861.3,1492,2850.1,217.1,44.7,15
0.093819,858.4,329.6,1467.0,136.6,2890.2,592.0,858.3,1490.6,2844.5,216.7,44.5,14.4
0.095819,843.2,314.4,1452.9,126.2,2899.2,484.8,857.6,1490.1,2839,216.2,44.3,13.8
0.097819,837.1,305.4,1449.6,112.7,2900.1,392.7,859.1,1490.7,2833.6,215.7,44.1,13
0.099819,845.5,306.1,1461.5,100.2,2891.6,354.4,862.9,1492.1,2828.3,215.1,43.8,12.2
0.101819,863.7,312.3,1477.6,92.9,2871.5,357.0,868.8,1494.5,2823,214.6,43.6,11.4
0.103819,885.4,318.5,1489.8,96.2,2841.4,377.4,876.5,1497.8,2817.8,214,43.4,10.6
0.105819,901.8,327.3,1496.6,116.3,2811.7,391.5,885.8,1502,2812.6,213.4,43.1,9.9
0.107819,909.7,342.2,1497.6,162.6,2787.0,389.8,896.3,1506.8,2807.3,212.8,42.9,9.1
0.109819,916.6,356.4,1490.9,234.7,2766.4,376.3,907.6,1512.4,2801.9,212.1,42.6,8.3
0.111819,932.8,365.7,1484.0,316.4,2754.9,357.1,919.3,1518.5,2796.4,211.4,42.3,7.6
0.113819,956.7,356.2,1498.1,367.5,2758.2,343.3,931,1525.2,2790.6,210.7,42,7.2
0.115819,974.7,330.3,1528.9,360.9,2770.9,343.4,942.1,1532.2,2784.5,210,41.8,7.1
0.117819,984.9,304.6,1552.5,331.5,2780.5,348.3,952.4,1539.5,2778.1,209.3,41.7,7.6
0.119819,990.0,285.9,1563.6,315.1,2775.5,333.2,961.3,1547.1,2771.5,208.6,41.7,8.3
0.121819,991.3,274.8,1572.2,307.2,2762.2,301.7,968.6,1554.7,2764.5,207.8,41.8,9.1
0.123819,986.1,278.8,1582.4,293.0,2750.4,281.6,973.9,1562.5,2757.2,207.1,41.9,9.6
0.125819,970.5,302.8,1591.7,270.0,2739.5,278.4,976.9,1570.3,2749.6,206.3,42,9.8
0.127819,938.6,336.8,1601.8,235.7,2723.0,279.3,977.6,1578,2741.8,205.5,42.1,9.6
0.129819,897.8,353.3,1613.3,197.2,2703.8,275.2,975.7,1585.8,2733.8,204.7,42.3,9.1
0.131819,875.6,346.4,1621.8,170.2,2693.6,272.8,971.3,1593.5,2725.7,203.9,42.4,8.7
0.133819,890.2,333.8,1622.1,162.2,2695.0,285.2,964.4,1601.2,2717.5,203.1,42.6,8.3
0.135819,921.4,319.8,1615.4,166.2,2700.8,314.6,955,1608.9,2709.4,202.3,42.7,8.1
0.137819,945.2,305.0,1604.7,172.6,2705.0,360.4,943.5,1616.6,2701.4,201.4,42.7,7.9
0.139819,951.1,296.1,1595.1,177.7,2704.4,417.9,930,1624.4,2693.7,200.6,42.7,7.9
0.141819,943.8,294.7,1594.3,186.4,2697.3,477.9,914.8,1632.4,2686.3,199.7,42.7,7.9
0.143819,930.0,299.0,1610.2,205.1,2688.6,524.7,898.3,1640.5,2679.5,198.9,42.6,7.8
0.145819,913.0,302.9,1643.8,228.1,2689.9,553.4,880.8,1648.9,2673.2,198,42.5,7.8
0.147819,892.5,302.5,1687.7,240.2,2705.4,569.1,862.7,1657.5,2667.6,197.1,42.4,7.9
0.149819,871.9,303.2,1718.6,234.7,2722.3,569.9,844.3,1666.5,2662.7,196.3,42.5,8
0.151819,851.2,310.2,1726.2,221.3,2724.3,562.1,826.1,1675.9,2658.7,195.4,42.6,8
0.153819,826.3,320.8,1717.6,203.9,2708.9,558.0,808.5,1685.6,2655.6,194.5,42.7,8
0.155819,799.5,334.7,1702.8,186.7,2682.6,558.4,791.6,1695.8,2653.3,193.6,42.9,7.8
0.157819,773.7,358.3,1685.2,172.5,2651.9,528.0,775.9,1706.3,2652.1,192.7,43.1,7.5
0.159819,750.4,394.1,1668.8,163.3,2630.5,442.9,761.5,1717.2,2651.7,191.8,43.1,7.1
0.161819,725.4,437.3,1660.5,164.5,2618.4,361.0,748.6,1728.4,2652.2,191,43.2,6.7
0.163819,705.6,483.4,1670.1,185.6,2607.5,330.4,737.4,1739.9,2653.6,190.1,43.1,6.3
0.165819,706.4,528.2,1706.1,224.0,2601.6,346.0,727.9,1751.5,2655.7,189.2,43.1,6.2
0.167819,726.3,544.1,1768.4,245.6,2613.4,373.1,720.1,1763.1,2658.6,188.4,43,6.1
0.169819,730.9,511.3,1812.9,218.3,2636.2,366.1,714,1774.7,2662,187.6,43,6.1
0.171819,717.5,465.3,1819.8,184.0,2646.4,336.4,709.5,1786.1,2665.8,186.8,43,6.2
0.173819,709.1,415.6,1812.2,166.4,2647.6,315.6,706.4,1797.2,2670,186,43.1,6.4
0.175819,707.4,361.6,1806.6,165.4,2650.7,311.8,704.5,1807.8,2674.3,185.2,43.3,6.6
0.177819,709.8,300.5,1809.5,172.7,2662.6,311.7,703.6,1817.8,2678.7,184.5,43.5,6.9
0.179819,715.7,243.1,1823.6,176.8,2685.7,293.9,703.6,1827,2682.9,183.8,43.8,7.2
0.181819,720.9,195.4,1842.0,172.6,2710.4,252.5,704.2,1835.4,2686.9,183.1,44.2,7.5
0.183819,720.5,160.7,1854.4,166.2,2721.1,205.4,705.1,1842.7,2690.6,182.5,44.5,7.7
0.185819,714.3,139.8,1859.6,162.6,2717.1,173.0,706.2,1848.8,2693.7,181.9,44.8,7.7
0.187819,705.0,127.1,1862.1,160.4,2709.3,157.7,707.2,1853.7,2696.3,181.3,45,7.5
0.189819,695.7,119.7,1862.7,159.7,2706.0,157.3,708.1,1857.2,2698.1,180.8,45,7.1
