time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025102,563.2,109.3,1703.2,177.9,3224.8,290.7,577.3,1699.5,3199.6,283.3,47.9,13.8
0.027102,572.1,101.5,1697.4,169.0,3193.4,306.4,580.3,1704.3,3197.6,283.6,48.4,14.1
0.029102,579.3,100.0,1694.0,172.9,3157.5,315.0,585.3,1712.2,3194.4,283.9,48.9,14.4
0.031102,586.4,106.7,1694.1,193.9,3133.9,315.3,591.9,1722.9,3190.1,284.2,49.2,14.8
0.033102,594.5,122.7,1699.8,235.1,3133.6,310.8,599.9,1736.1,3184.7,284.5,49.3,15.1
0.035102,605.1,149.9,1715.8,302.3,3151.3,306.8,609.1,1751.4,3178.4,284.8,49.3,15.2
0.037102,619.4,188.4,1748.6,389.1,3173.6,306.8,619,1768.4,3171.3,285.1,49.2,15
0.039102,636.4,234.3,1795.5,460.2,3188.0,312.5,629.4,1786.5,3163.7,285.4,49.1,14.6
0.041102,653.2,286.4,1839.5,475.9,3189.5,323.1,639.8,1805.5,3155.7,285.7,48.9,14.2
0.043102,666.2,346.5,1869.9,446.3,3185.2,327.1,649.9,1824.6,3147.5,285.9,48.8,13.9
0.045102,675.4,417.3,1895.6,403.9,3185.4,308.1,659.3,1843.6,3139.2,286.2,48.7,13.9
0.047102,680.3,477.9,1919.0,361.7,3186.3,265.3,667.9,1861.9,3131,286.4,48.6,14.4
0.049102,683.5,500.2,1935.1,325.4,3179.1,222.1,675.4,1879.3,3123,286.6,48.7,15.2
0.051102,685.8,481.9,1937.2,300.2,3160.4,197.7,681.7,1895.5,3115.4,286.8,48.7,16.2
0.053102,686.9,446.6,1924.9,287.4,3133.2,194.5,686.6,1910.3,3108.1,286.9,48.8,17.1
0.055102,688.9,415.0,1908.2,282.4,3103.1,200.9,690.3,1923.6,3101.2,287,49,18
0.057102,692.3,391.6,1897.1,284.5,3075.4,210.3,692.8,1935.3,3094.8,287.1,49.1,18.7
0.059102,695.3,372.1,1896.1,293.2,3052.5,221.3,694.2,1945.5,3088.8,287.1,49.2,19.5
0.061102,695.5,350.7,1906.4,302.3,3035.2,232.5,694.7,1954.3,3083.2,287.1,49.4,20.2
0.063102,691.8,327.9,1924.5,300.6,3025.9,238.1,694.5,1961.9,3078,287.1,49.5,20.8
0.065102,685.5,306.9,1944.9,285.3,3022.7,234.4,693.8,1968.6,3073,287,49.6,21.2
0.067102,678.8,293.2,1962.7,263.8,3022.2,223.2,693,1974.6,3068.3,286.9,49.6,21.3
0.069102,673.5,291.0,1976.1,245.2,3022.8,209.8,692.2,1980.3,3063.7,286.8,49.6,21.2
0.071102,671.3,303.0,1986.2,233.7,3026.5,197.0,691.6,1985.8,3059.1,286.6,49.6,21
0.073102,673.1,328.3,1993.9,230.7,3035.5,186.4,691.3,1991.5,3054.5,286.4,49.5,20.8
0.075102,678.5,363.5,2000.7,236.1,3048.7,178.4,691.6,1997.6,3049.8,286.1,49.4,20.6
0.077102,686.4,402.0,2007.1,249.8,3062.0,176.3,692.4,2004.3,3045.1,285.8,49.3,20.5
0.079102,695.6,434.1,2012.8,269.6,3071.7,182.4,693.7,2011.8,3040.2,285.5,49.2,20.5
0.081102,705.7,456.4,2019.5,291.3,3077.8,196.2,695.4,2020.2,3035.3,285.1,49,20.5
