time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025333,352.0,425.6,2369.2,212.7,3299.4,508.6,363.9,2389.2,3253.9,317.7,43.5,2.7
0.027333,375.0,320.4,2363.1,210.0,3280.6,515.1,372.3,2387.7,3273.3,317.7,44.4,3.4
0.029333,392.2,275.1,2366.4,195.0,3279.3,552.1,385.7,2385.1,3301.5,317.7,45.2,4.3
0.031333,409.7,256.6,2377.6,182.1,3299.3,595.0,403.6,2381.6,3332.9,317.6,45.8,5.8
0.033333,429.5,243.2,2391.7,172.6,3336.8,613.7,424.8,2377.3,3361,317.6,46.3,7.4
0.035333,450.3,227.6,2401.6,171.8,3375.3,586.9,448.5,2372.1,3378.6,317.4,46.7,9.1
0.037333,472.5,208.9,2399.6,191.6,3379.3,519.1,473.5,2366.1,3379.7,317.3,47,10.5
0.039333,494.7,189.1,2380.9,240.7,3343.5,464.5,498.7,2359.4,3359.7,317.1,47.3,11.7
0.041333,516.9,171.8,2349.9,317.0,3297.5,459.1,523.2,2351.8,3316.4,316.8,47.5,12.6
0.043333,540.2,162.1,2320.5,414.6,3253.9,511.6,546,2343.3,3250.1,316.5,47.7,13.4
0.045333,563.3,162.8,2317.3,503.2,3217.2,629.1,566.5,2333.7,3164.1,316.2,47.8,14.1
0.047333,585.3,166.4,2345.1,561.5,3169.7,838.6,584.4,2322.7,3064.2,315.7,47.9,14.8
0.049333,603.0,163.4,2382.8,615.4,3054.9,1116.1,599.3,2310,2957.8,315.2,48.1,15.4
0.051333,615.2,150.7,2426.2,751.6,2779.8,1235.9,611.2,2295.1,2853.5,314.7,48.3,16
0.053333,623.2,130.2,2264.4,1203.9,2635.3,677.1,620.3,2277.3,2759.9,314,48.5,16.5
0.055333,628.0,107.6,2071.3,1126.1,2641.4,509.5,626.8,2256.3,2684.6,313.3,48.8,16.9
0.057333,631.9,87.9,2014.0,1062.7,2634.2,463.8,631,2231.2,2633.3,312.6,49.2,17.3
0.059333,635.1,72.9,2060.4,1109.3,2628.8,529.2,633.4,2201.7,2609.1,311.7,49.6,17.5
0.061333,636.1,59.9,2190.8,1196.7,2613.0,718.3,634.2,2167.3,2612.3,310.8,50,17.7
0.063333,634.3,46.9,2342.8,1122.7,2574.2,1064.1,633.8,2127.6,2640.1,309.9,50.5,17.7
0.065333,631.1,36.2,2263.5,1045.1,2669.1,1126.3,632.5,2082.7,2687,308.8,50.9,17.7
0.067333,627.5,28.3,2118.7,953.6,2773.5,925.4,630.5,2032.7,2745.9,307.7,51.3,17.6
0.069333,624.1,23.7,1990.2,749.2,2854.5,740.1,628,1978.1,2808.3,306.6,51.6,17.6
0.071333,621.2,21.9,1891.8,536.8,2918.5,624.2,625,1919.9,2865.8,305.4,51.9,17.6
0.073333,618.8,22.8,1815.0,388.2,2972.4,574.4,621.9,1859,2910.9,304.2,52.1,17.6
0.075333,617.2,26.6,1751.5,317.8,2995.9,568.0,618.6,1796.9,2938,302.9,52.2,17.5
0.077333,616.0,33.6,1688.6,287.4,2973.7,576.8,615.4,1735.2,2944.1,301.6,52.3,17.3
0.079333,614.8,42.9,1629.4,264.4,2913.3,578.9,612.5,1675.6,2928.9,300.3,52.4,17
0.081333,613.5,52.2,1581.9,239.8,2830.5,562.0,610,1619.8,2895,299,52.4,16.6
0.083333,612.0,60.2,1544.9,216.7,2744.4,507.8,608.2,1569.4,2847.4,297.7,52.3,16.1
0.085333,610.9,66.7,1518.2,199.6,2692.2,440.6,607.4,1525.9,2793,296.4,52.1,15.4
0.087333,610.7,75.0,1500.2,192.4,2676.3,403.5,607.7,1490.2,2739.4,295.1,51.9,14.8
0.089333,611.5,88.9,1491.4,199.0,2686.3,420.3,609.3,1463.1,2694.3,293.8,51.6,14.1
0.091333,613.6,110.6,1489.7,218.6,2714.7,495.0,612.2,1444.7,2664.1,292.5,51.2,13.3
0.093333,616.3,141.3,1487.8,247.6,2748.4,586.4,616.5,1434.6,2653.3,291.3,50.8,12.4
0.095333,618.5,176.8,1476.5,280.2,2758.5,576.5,621.8,1432.1,2663.9,290.1,50.4,11.5
0.097333,620.2,213.1,1454.4,319.2,2752.1,480.0,628.1,1436,2695.1,288.9,50.1,10.6
0.099333,623.7,241.1,1429.5,372.5,2752.6,394.5,634.9,1444.7,2743.6,287.8,49.9,9.7
0.101333,632.6,255.5,1412.1,458.6,2774.3,354.1,641.7,1456.4,2803.5,286.7,49.7,8.8
0.103333,650.2,257.7,1413.3,606.6,2830.7,352.4,648.2,1469.2,2867.7,285.7,49.4,7.9
0.105333,668.8,243.1,1448.4,795.8,2916.7,346.5,653.8,1481.3,2928.3,284.8,49.1,7
0.107333,673.3,210.1,1508.1,944.2,2984.9,312.1,658.2,1491.2,2977.9,283.9,48.7,5.9
0.109333,662.2,174.1,1531.8,1006.1,3002.2,292.0,661,1497.7,3010.3,283,48.2,4.7
0.111333,649.3,152.5,1500.6,951.0,2984.1,278.1,661.9,1500,3021.6,282.2,47.8,3.5
