time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025596,440.1,425.0,1642.4,120.9,3485.6,186.9,579.3,1668.4,3468.3,271.7,50.2,12.2
0.027596,539.2,497.1,1650.7,102.8,3464.4,197.4,593.3,1668.4,3466.9,272.5,50.1,10
0.029596,631.0,488.4,1655.4,88.3,3448.8,184.2,616,1668.2,3464.9,273.4,49.8,8.9
0.031596,699.0,449.7,1657.9,76.4,3445.9,162.1,646.7,1668,3462.3,274.2,49.5,8.3
0.033596,757.2,398.0,1659.5,64.9,3451.2,141.6,684.3,1667.4,3459.4,275.1,49.2,8
0.035596,799.6,346.5,1660.3,55.3,3460.3,128.5,727.7,1666.5,3456.6,276,48.9,8
0.037596,828.4,303.1,1661.1,48.6,3468.7,126.1,775.4,1665,3454.3,276.9,48.8,7.9
0.039596,848.2,276.1,1662.9,47.0,3469.9,143.1,825.9,1662.9,3452.7,277.8,48.7,8
0.041596,864.5,278.0,1667.3,53.0,3457.9,186.9,877.5,1659.9,3452.2,278.7,48.6,8.4
0.043596,888.1,309.7,1675.0,67.2,3438.6,254.0,928.8,1656.1,3453.1,279.6,48.5,8.8
0.045596,925.2,355.1,1682.6,84.5,3428.0,317.3,978.2,1651.2,3455.5,280.4,48.5,9.3
0.047596,977.9,401.6,1686.5,102.5,3427.6,376.1,1024.5,1645.2,3459.6,281.2,48.5,9.8
0.049596,1042.1,445.4,1684.9,125.7,3441.0,437.2,1066.4,1638.1,3465.5,282,48.5,10.3
0.051596,1104.3,483.6,1677.2,158.2,3479.6,463.7,1103,1629.9,3472.9,282.7,48.7,10.8
0.053596,1166.0,524.0,1658.8,205.8,3531.3,395.1,1133.6,1620.5,3481.8,283.4,48.9,11.3
0.055596,1219.5,571.0,1621.9,252.0,3554.2,293.8,1157.8,1610.2,3491.8,284,49.1,11.7
0.057596,1240.6,620.5,1570.0,246.3,3556.0,235.7,1175.4,1599.1,3502.4,284.6,49.3,12.1
0.059596,1210.4,597.5,1540.1,187.9,3547.6,222.6,1186.5,1587.2,3513.3,285.1,49.4,12.4
0.061596,1188.8,526.7,1531.8,147.2,3537.5,229.3,1191.5,1574.8,3523.8,285.5,49.5,12.5
0.063596,1186.9,483.9,1529.1,129.8,3531.8,256.4,1190.9,1562.1,3533.4,285.8,49.6,12.6
0.065596,1187.0,485.6,1525.2,124.7,3524.1,314.7,1185.4,1549.3,3541.4,286,49.7,12.8
0.067596,1172.5,515.4,1517.5,118.4,3502.2,393.0,1176,1536.6,3547.4,286.2,49.8,13.1
0.069596,1143.3,542.4,1508.5,106.5,3475.7,428.6,1163.4,1524.4,3550.7,286.3,50,13.6
0.071596,1108.4,556.0,1499.6,92.5,3470.1,389.0,1148.8,1512.7,3551,286.3,50.1,14.3
0.073596,1074.6,558.4,1491.3,80.0,3485.4,307.3,1133,1501.7,3548,286.2,50.3,15.1
0.075596,1050.5,559.8,1485.0,73.2,3504.2,237.1,1116.9,1491.7,3541.4,286,50.4,15.7
0.077596,1039.0,572.0,1480.8,73.4,3519.7,191.4,1101.3,1482.7,3531.1,285.7,50.4,16.2
0.079596,1043.6,586.9,1479.3,79.9,3529.2,175.0,1086.8,1474.8,3517.3,285.4,50.3,16.5
0.081596,1061.5,587.3,1480.0,89.7,3534.6,183.4,1073.8,1468,3500.2,285,50.3,16.6
0.083596,1086.7,575.5,1481.5,101.1,3539.2,212.5,1062.6,1462.3,3480.2,284.5,50.2,16.7
0.085596,1112.4,557.8,1482.4,111.8,3545.6,261.8,1053.4,1457.6,3457.7,283.9,50.1,16.7
0.087596,1135.9,537.2,1482.2,122.1,3554.5,357.1,1046,1453.9,3433.4,283.2,50,16.6
0.089596,1146.5,532.1,1478.8,128.9,3550.8,530.7,1040.2,1450.9,3407.9,282.5,49.9,16.5
0.091596,1132.9,536.0,1471.2,126.7,3445.6,763.6,1035.7,1448.5,3382,281.7,49.8,16.2
0.093596,1091.0,507.8,1461.5,112.6,3254.1,672.5,1032,1446.4,3356.5,280.9,49.8,16
0.095596,1039.0,467.7,1449.7,98.7,3194.8,454.3,1028.4,1444.5,3332.1,280,49.7,15.7
0.097596,977.5,441.4,1434.0,93.1,3207.0,326.8,1024.5,1442.6,3309.5,279,49.6,15.3
0.099596,934.7,403.7,1421.7,95.5,3229.9,267.9,1019.7,1440.4,3289.4,278,49.6,14.9
0.101596,926.4,363.9,1417.7,101.4,3248.9,224.8,1013.5,1437.7,3272.3,276.9,49.5,14.4
0.103596,938.4,330.2,1420.7,104.2,3261.6,177.5,1005.4,1434.4,3258.5,275.8,49.5,13.9
0.105596,952.4,302.6,1423.3,101.3,3265.0,133.2,995.2,1430.2,3248.4,274.7,49.4,13.4
0.107596,962.5,282.9,1422.3,99.5,3260.8,98.3,982.6,1425.2,3242,273.5,49.3,12.9
0.109596,968.6,280.3,1419.5,109.7,3253.1,80.5,967.5,1419.1,3239.4,272.3,49.2,12.4
0.111596,972.1,294.8,1417.6,141.3,3247.0,76.2,950.1,1412,3240.2,271,49,11.9
0.113596,968.7,318.2,1414.2,197.8,3246.5,81.0,930.6,1403.9,3244.2,269.7,48.9,11.4
0.115596,954.5,343.3,1402.8,256.3,3251.8,91.5,909.4,1394.9,3250.9,268.4,48.9,11.1
0.117596,927.0,383.2,1377.1,281.5,3262.2,109.2,886.9,1384.9,3259.8,267.1,48.8,10.8
0.119596,886.7,430.9,1349.3,247.4,3276.9,133.1,863.7,1374.2,3270.2,265.8,48.8,10.8
0.121596,841.5,455.2,1332.5,189.3,3297.6,161.1,840.4,1362.9,3281.6,264.4,48.9,11
0.123596,805.3,446.3,1325.4,144.5,3322.7,186.1,817.7,1351.1,3293.2,263.1,48.9,11.3
0.125596,777.1,422.0,1322.0,125.0,3337.6,198.1,796,1339.1,3304.5,261.7,49,11.5
0.127596,748.5,390.8,1318.4,125.1,3335.3,195.7,776.1,1326.9,3314.8,260.4,49,11.5
0.129596,726.9,356.4,1314.7,140.2,3327.9,184.2,758.4,1314.8,3323.7,259,49.1,11.2
0.131596,719.3,326.2,1312.6,160.5,3326.4,170.3,743.2,1303,3330.9,257.7,49.2,10.8
0.133596,720.0,293.1,1310.6,178.1,3327.5,151.3,730.9,1291.5,3336,256.4,49.3,10.3
