time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025701,559.0,122.2,1286.2,144.1,2753.3,664.0,568.6,1302.5,2727.2,227.1,42.5,4
0.027701,563.3,106.5,1290.6,133.1,2727.1,613.6,570.6,1303.8,2727.9,227.3,43.3,5.6
0.029701,570.0,100.5,1296.5,131.3,2719.7,623.3,573.7,1305.9,2729.4,227.4,44,7.6
0.031701,578.0,97.0,1302.7,131.9,2720.2,640.3,578,1309,2732,227.5,44.6,9.7
0.033701,587.1,92.1,1310.9,134.5,2721.7,632.4,583.3,1313.4,2736.1,227.6,45.2,11.7
0.035701,596.3,86.7,1322.8,141.3,2727.3,606.9,589.4,1319,2742.3,227.7,45.7,13.4
0.037701,604.9,82.6,1338.9,151.0,2742.1,589.3,596,1326.1,2751.1,227.8,46.1,14.7
0.039701,612.0,80.3,1355.6,158.2,2763.2,591.4,603.1,1334.8,2762.9,227.9,46.5,15.4
0.041701,617.0,79.1,1368.0,157.9,2781.0,612.7,610.2,1345,2777.9,227.9,46.8,15.9
0.043701,620.5,79.7,1376.2,151.9,2797.5,640.6,617.4,1356.8,2796.5,228,47.2,16.3
0.045701,623.8,82.5,1384.2,144.3,2824.6,662.3,624.3,1370,2818.7,228,47.4,16.8
0.047701,627.6,86.5,1392.8,137.1,2858.6,675.3,630.7,1384.4,2844.1,227.9,47.7,17.6
0.049701,631.8,89.8,1401.7,131.1,2893.9,690.5,636.5,1399.8,2872.6,227.9,47.9,18.6
0.051701,636.5,91.5,1410.6,127.6,2931.2,710.1,641.7,1415.6,2903.5,227.8,48.1,19.7
0.053701,641.1,91.0,1419.3,128.0,2964.4,728.3,646,1431.6,2936.2,227.6,48.3,20.7
0.055701,645.2,87.6,1428.2,133.2,2985.7,749.2,649.4,1447.3,2969.8,227.4,48.6,21.5
0.057701,648.4,82.6,1437.8,144.0,2995.4,768.5,652,1462.1,3003.6,227.2,48.8,21.8
0.059701,650.9,78.2,1449.9,159.4,3011.3,760.0,653.7,1475.7,3036.6,226.9,49,21.8
0.061701,653.2,75.4,1466.3,176.3,3040.7,705.4,654.6,1487.7,3068.1,226.6,49.3,21.5
0.063701,654.9,73.4,1484.3,189.0,3071.5,630.5,654.7,1497.6,3097.5,226.2,49.5,21.2
0.065701,655.8,71.1,1501.7,196.9,3101.1,551.1,654.2,1505.4,3124.1,225.8,49.6,20.9
0.067701,656.0,69.2,1516.8,201.2,3127.6,469.5,653.1,1510.8,3147.6,225.3,49.8,20.8
0.069701,655.8,67.6,1530.5,204.4,3147.4,391.2,651.6,1513.9,3167.7,224.8,49.9,21
0.071701,655.0,66.3,1541.4,211.1,3161.8,339.8,649.7,1514.7,3184.5,224.2,50,21.2
0.073701,652.7,65.1,1547.3,229.5,3180.1,326.2,647.5,1513.3,3198.2,223.6,50.1,21.4
0.075701,649.3,64.7,1544.2,259.9,3207.4,346.1,645.2,1510.1,3208.9,223,50,21.4
0.077701,645.4,65.9,1528.6,288.5,3240.9,373.5,642.7,1505.3,3217.2,222.2,50,21
0.079701,641.1,68.3,1501.3,295.1,3269.8,380.3,640.2,1499.2,3223.5,221.5,49.9,20.2
0.081701,636.3,70.8,1473.7,273.1,3287.4,365.6,637.7,1492.1,3228.1,220.7,49.7,19.3
0.083701,631.2,73.4,1456.7,235.4,3298.0,345.5,635.1,1484.4,3231.6,219.8,49.5,18.2
